state,fraud_cases,losses_usd
AK,4917,26942595.0
AL,26049,104201969.0
AR,14393,52115298.0
AZ,54367,336716502.0
CA,238705,1678703608.0
CO,44945,210727907.0
CT,20825,90349831.0
DC,7082,30392313.0
DE,7540,34282919.0
FL,159307,866069909.0
GA,67703,291260795.0
HI,8832,61597207.0
IA,13975,51955685.0
ID,10359,53935183.0
IL,71060,318113996.0
IN,34586,112284529.0
KS,14747,57590798.0
KY,22129,70763918.0
LA,20534,89368368.0
MA,40845,210339833.0
MD,43876,198919905.0
ME,7675,29251463.0
MI,53351,204033291.0
MN,31081,144567540.0
MO,35317,139349918.0
MS,12911,44397299.0
MT,6569,22546556.0
NC,63176,276797227.0
ND,3127,14369138.0
NE,9655,41875694.0
NH,8838,34625261.0
NJ,55969,314439857.0
NM,12694,56598540.0
NV,24331,138538256.0
NY,118933,533979898.0
OH,63367,226195712.0
OK,19331,72729698.0
OR,30013,123704947.0
PA,74926,285404657.0
RI,5948,20655420.0
SC,31929,137049006.0
SD,3880,20431576.0
TN,39942,157176393.0
TX,162101,897890888.0
UT,19493,113094286.0
VA,57867,293690299.0
VT,3914,10552373.0
WA,56358,297200858.0
WI,30287,106041111.0
WV,8767,27018386.0
WY,3577,20097503.0
